bound_hi_scaled,bound_lo_scaled,declared_well_specified,dist_to_hi_scaled,dist_to_lo_scaled,enough_margin,inside,is_estimated_param,margin_scaled,param,scenario,scenario_ok,truth_natural,truth_scaled
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S3_transport,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S3_transport,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S3_transport,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S3ab_delay,1,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S3ab_delay,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S3ab_delay,1,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S3ab_delay,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S3ab_delay,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S3ab_delay,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S3ab_rtd,1,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S3ab_rtd,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S3ab_rtd,1,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S3ab_rtd,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S3ab_rtd,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S3ab_rtd,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S4a_ambiguity,1,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S4a_ambiguity,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S4a_ambiguity,1,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S4a_ambiguity,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S4a_ambiguity,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S4a_ambiguity,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,1,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S4b_identifiable,1,0.001,-6.907755278982137
120.0,20.0,1,80.0,20.0,1,1,1,20.0,Ea1_J,S4b_identifiable,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,1,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S4b_identifiable,1,0.00065,-7.338538195074591
120.0,20.0,1,72.0,28.0,1,1,1,28.0,Ea2_J,S4b_identifiable,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,1,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S4b_identifiable,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,1,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S4b_identifiable,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S4c_out_of_domain,0,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S4c_out_of_domain,0,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S4c_out_of_domain,0,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S4c_out_of_domain,0,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,3.7184570559729377,0.8867131300151541,1,1,1,0.8867131300151541,K1_ref,S4c_out_of_domain,0,0.15,-1.8971199848858813
0.4350427099671659,-4.170127476020926,0,6.6496508083893575,-2.0444806224012657,0,0,1,-2.0444806224012657,K2_ref,S4c_out_of_domain,0,0.002,-6.214608098422191
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S5_inadequacy,0,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S5_inadequacy,0,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S5_inadequacy,0,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S5_inadequacy,0,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,3.7184570559729377,0.8867131300151541,1,1,1,0.8867131300151541,K1_ref,S5_inadequacy,0,0.15,-1.8971199848858813
0.4350427099671659,-4.170127476020926,0,6.6496508083893575,-2.0444806224012657,0,0,1,-2.0444806224012657,K2_ref,S5_inadequacy,0,0.002,-6.214608098422191
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S6_resources,1,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S6_resources,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S6_resources,1,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S6_resources,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S6_resources,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S6_resources,1,0.07,-2.659260036932778
-2.6391513654068866,-9.441546128731197,0,4.26860391357525,2.53379084974906,1,1,1,2.53379084974906,k1_ref,S7_spatial_modes,1,0.001,-6.907755278982137
120.0,20.0,0,80.0,20.0,1,1,1,20.0,Ea1_J,S7_spatial_modes,1,40000.0,40.0
-3.361182612862643,-10.163577376186954,0,3.9773555822119477,2.8250391811123627,1,1,1,2.8250391811123627,k2_ref,S7_spatial_modes,1,0.00065,-7.338538195074591
120.0,20.0,0,72.0,28.0,1,1,1,28.0,Ea2_J,S7_spatial_modes,1,48000.0,48.0
1.8213370710870564,-2.7838331149010354,0,1.9266975867448828,2.678472599243209,1,1,1,1.9266975867448828,K1_ref,S7_spatial_modes,1,0.9,-0.10536051565782628
0.4350427099671659,-4.170127476020926,0,3.0943027468999436,1.5108674390881478,1,1,1,1.5108674390881478,K2_ref,S7_spatial_modes,1,0.07,-2.659260036932778
