scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,spatial_mode,design_mode,eig_param,eig_model,qc_flags,qc_pass,censored_species,observation_mode,round_n_rejected,round_n_reacquired,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,B,7,2,20,60.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,21,70.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,WARN nonnegativity active: AcOH,1,AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,22,70.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,"WARN nonnegativity active: EGMA,AcOH",1,EGMA;AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,23,70.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,24,70.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,25,70.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,26,70.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,27,70.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,28,70.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,3,29,70.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
