strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
A,1,394.41286201324885,10000.0,nan,0.126000953796397
A,2,119.57457363212498,10000.0,nan,0.02827828641418539
A,3,163.25842745338878,10000.0,nan,0.027597956067009995
B,1,218.31454519713574,10000.0,nan,0.09611838212031289
B,2,220.8975129293628,10000.0,nan,0.03696018385421586
B,3,8.938268480707489,10000.0,nan,0.0015007567631318787
C,1,394.41286201324885,10000.0,nan,0.126000953796397
C,2,189.076930146827,10000.0,nan,0.023781338781522183
C,3,168.0135160352756,10000.0,nan,0.023409652030077013
D,1,218.31454519713574,10000.0,nan,0.09611838212031289
D,2,137.91042977713718,10000.0,nan,0.021920536959573324
D,3,5.518073647248811,1792.700694998279,nan,0.0013409641870870297
E,1,295.4616590725707,10000.0,nan,0.12125823759374893
E,2,213.84646174792982,10000.0,nan,0.021050059060395983
E,3,14.534094311341207,393.9746124222891,nan,0.0019898951219498814
F,1,87.52750493868848,761.3063671754314,nan,0.1185145099876191
F,2,41.142981290589354,726.3795683469169,nan,0.013895384581228165
F,3,6.085283552787435,315.0376370131765,nan,0.00143078599123957
