strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2375.442360233099,326.247113755998,10000.0,nan,0.14234461034560608
D,6389.083195239946,217.48565433127322,9837.336732290902,nan,0.035958829217294784
D,10802.151561671179,46.10409125386843,8555.085794432223,nan,0.006995705905955973
D,15272.537957605327,39.307734602522885,8832.55691417639,nan,0.00391076982906306
D,20417.5604125453,36.441413350776784,8127.205142357578,nan,0.0037328278397925235
D,23355.684743275488,34.22113949694383,7298.854616898898,nan,0.0036243368888319053
D,28294.844932689233,34.14333019715387,7394.4269764798755,nan,0.0034601340757787315
D,32601.782266518487,32.52988304749971,7019.075549110128,nan,0.003436193213193409
D,35818.94915780403,30.486580393196483,6374.409190331005,nan,0.003403498836237178
D,40082.47663914785,32.4743965810004,7171.948248936407,nan,0.003255669229794279
F,2427.7448602330987,75.74186662397736,1570.3199713561635,0.3317821753638878,0.09854797037051902
F,6412.827635459349,39.82062962060712,800.444180147722,0.44595926228163163,0.015176879140285964
F,11133.587355925552,15.516368114949369,499.7802107668731,0.14618563209464516,0.004555825252671526
F,15874.589810865535,14.547065248608172,460.8663596318711,0.15663294396537267,0.0015937411625213938
F,20812.754765805515,15.70845717669872,423.3040458653328,0.23896308565685098,0.0012503496911159622
F,25330.577837207617,16.006944860627854,391.8209769522073,0.28893629666723963,0.0011706312769692293
F,29272.088686563096,17.21399509038333,378.26505353013283,0.3247189740075806,0.0011090253281356495
F,33369.2474179069,18.248548280767395,366.3014058668703,0.32639753732030735,0.0010800195409757045
F,37662.034430303145,19.052017715461048,349.9451406956838,0.3462606010253463,0.001065504519551972
F,41738.897250155685,19.26071960222173,331.54388557921163,0.35272889974157445,0.001055691435087668
