strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,326.247113755998,10000.0,nan,0.14234461034560608
D,2,217.48565433127322,9837.336732290902,nan,0.035958829217294784
D,3,46.10409125386843,8555.085794432223,nan,0.006995705905955973
D,4,39.307734602522885,8832.55691417639,nan,0.00391076982906306
D,5,36.441413350776784,8127.205142357578,nan,0.0037328278397925235
D,6,34.22113949694383,7298.854616898898,nan,0.0036243368888319053
D,7,34.14333019715387,7394.4269764798755,nan,0.0034601340757787315
D,8,32.52988304749971,7019.075549110128,nan,0.003436193213193409
F,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F,2,39.59303567238517,854.2834690275733,nan,0.014267283229169586
F,3,14.722535965037054,552.0017322619573,nan,0.002171985682907202
F,4,14.292382863647276,466.149614640624,nan,0.001308104700820327
F,5,14.838442846163257,425.6089497191292,nan,0.0011662908832551873
F,6,16.100903297843654,414.44831447660056,nan,0.0011562367265692708
F,7,16.98921812622885,401.89477016282206,nan,0.0011161540862453935
F,8,17.893193929032737,390.66606816584044,nan,0.0010566700884517587
F-res-0.5x,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-res-0.5x,2,31.91944892085876,579.8009338736692,nan,0.02256390835134868
F-res-0.5x,3,15.061490083746298,510.192603832669,nan,0.001820671891377522
F-res-0.5x,4,16.80990917982616,473.2692735392844,nan,0.0016197906649557787
F-res-0.5x,5,17.848559124619232,440.01070031901173,nan,0.0015507825372434243
F-res-0.5x,6,18.8266854918473,418.27932372704316,nan,0.0015183530188850295
F-res-0.5x,7,20.392083136192355,409.80220306124363,nan,0.0015017495986232306
F-res-0.5x,8,21.381117681914905,397.7487007569765,nan,0.00152159750684066
F-res-1x,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-res-1x,2,32.08163804659587,582.3583946147171,nan,0.022533012999839588
F-res-1x,3,18.38028368589375,547.1808954692991,nan,0.0039972998091332475
F-res-1x,4,17.646812607679543,526.1701642755279,nan,0.0020124249505927825
F-res-1x,5,18.25465361176294,498.03804355808916,nan,0.0017833686665124284
F-res-1x,6,19.306659948703295,484.877475470122,nan,0.0017799026056769646
F-res-1x,7,20.555391145934173,479.7027864315734,nan,0.0017605499165263571
F-res-1x,8,21.317428868904017,467.32277429950716,nan,0.0017713969181303538
F-res-2x,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-res-2x,2,29.463007263310267,696.9743082004636,nan,0.029970821247392986
F-res-2x,3,18.694039264601997,524.6631078120729,nan,0.011647147229345595
F-res-2x,4,20.72540133976484,516.7392852220149,nan,0.011250266505743936
F-res-2x,5,22.300616619072077,499.795715954353,nan,0.011052621143608984
F-res-2x,6,22.710611955126918,481.30341520235606,nan,0.010478941884202597
F-res-2x,7,23.616735592027705,478.4001194540524,nan,0.010362543728905643
F-res-2x,8,24.355219617811237,463.08838168045986,nan,0.00975877287945578
F-res-4x,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-res-4x,2,40.49263436719792,756.8626446861236,nan,0.027200843700109632
F-res-4x,3,39.08529166896241,753.114214365645,nan,0.026394980061467975
F-res-4x,4,38.38277534919585,752.3964388297651,nan,0.026446830211401352
F-res-4x,5,37.57065916676656,751.1945374819004,nan,0.026223755389086844
F-res-4x,6,37.201289632896234,750.9576640896821,nan,0.026394934954943154
F-res-4x,7,37.39708960019544,749.4704371986727,nan,0.026739406382366417
F-res-4x,8,38.60009566247759,749.0791660408802,nan,0.027552560232638478
