strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2375.442360233099,326.247113755998,10000.0,nan,0.14234461034560608
D,6389.083195239946,217.48565433127322,9837.336732290902,nan,0.035958829217294784
D,10802.151561671179,46.10409125386843,8555.085794432223,nan,0.006995705905955973
D,15272.537957605327,39.307734602522885,8832.55691417639,nan,0.00391076982906306
D,20417.5604125453,36.441413350776784,8127.205142357578,nan,0.0037328278397925235
D,23355.684743275488,34.22113949694383,7298.854616898898,nan,0.0036243368888319053
D,28294.844932689233,34.14333019715387,7394.4269764798755,nan,0.0034601340757787315
D,32601.782266518487,32.52988304749971,7019.075549110128,nan,0.003436193213193409
F,2427.7448602330987,69.34257301633235,1477.8978800365587,0.49907997267495086,0.10559214969020107
F,6369.542524823422,47.46758627338861,831.2387539084554,0.6748374674654721,0.017573777682594723
F,11279.207245289628,12.556084510120726,488.51881183099965,0.853180260449695,0.005264154385002233
F,15777.319830668417,13.971457129050687,509.0440722514587,0.9656670011034905,0.001900037226990709
F,20230.694638093828,14.619658826604763,441.999802555072,0.9755148951708008,0.0016716782491624893
F,24773.733238998848,16.745409364605933,439.788547998577,0.989373590758704,0.0011978043182350774
F,28594.838984319365,17.666441294556954,422.6935619560418,1.0,0.001016377553511103
F,32816.547142680654,18.131280259586564,403.7109932125177,1.0,0.0010080891245228432
