strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
B,1,326.247113755998,10000.0,nan,0.14234461034560608
B,2,237.1475009984759,10000.0,nan,0.06233584384945142
B,3,180.96507444620687,10000.0,nan,0.05160873213494166
B,4,177.30633955110315,10000.0,nan,0.04990415782683169
B,5,147.682228229014,10000.0,nan,0.03827108076477097
B,6,105.69627761117322,10000.0,nan,0.022873864481835333
B,7,59.426689521837204,8531.89564691868,nan,0.010568723095800073
B,8,44.974146773067524,6800.581737314387,nan,0.008695954880523618
D,1,326.247113755998,10000.0,nan,0.14234461034560608
D,2,217.48565433127322,9837.336732290902,nan,0.035958829217294784
D,3,46.10409125386843,8555.085794432223,nan,0.006995705905955973
D,4,39.307734602522885,8832.55691417639,nan,0.00391076982906306
D,5,36.441413350776784,8127.205142357578,nan,0.0037328278397925235
D,6,34.22113949694383,7298.854616898898,nan,0.0036243368888319053
D,7,34.14333019715387,7394.4269764798755,nan,0.0034601340757787315
D,8,32.52988304749971,7019.075549110128,nan,0.003436193213193409
F,1,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F,2,39.59303567238517,854.2834690275733,nan,0.014267283229169586
F,3,14.722535965037054,552.0017322619573,nan,0.002171985682907202
F,4,14.292382863647276,466.149614640624,nan,0.001308104700820327
F,5,14.838442846163257,425.6089497191292,nan,0.0011662908832551873
F,6,16.100903297843654,414.44831447660056,nan,0.0011562367265692708
F,7,16.98921812622885,401.89477016282206,nan,0.0011161540862453935
F,8,17.893193929032737,390.66606816584044,nan,0.0010566700884517587
