strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2527.1680263507906,335.58357321399427,10000.0,nan,0.1512534714789756
D,6962.050693725844,201.90018331161406,9806.148924682686,nan,0.03704707728538951
D,11598.342537534034,32.23542247390869,3397.5286589368525,nan,0.006139770892567335
D,16820.890988259303,23.816018429284874,2897.1237806537592,nan,0.0038493053772317683
D,22097.182832067494,21.605087839594933,2803.627121401959,nan,0.003625755821045948
D,26042.749064017826,20.494195226224306,2062.1145372574783,nan,0.003498993549015851
D,31139.934708814173,20.84799130681593,2061.765318472038,nan,0.0035354881877614182
D,36026.22655262236,18.379614482290428,1549.606426186026,nan,0.0033034752215550323
F,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F,7306.497333103182,51.24548407789147,825.1926296987527,nan,0.013951248588631195
F,12979.823385804766,17.599218117720348,180.65066857339892,nan,0.0015421495550073205
F,17878.884285541873,13.99238663705979,98.041919642177,nan,0.0011133473791226116
F,23780.86387422947,14.72829252650799,84.0437506100608,nan,0.001031655333769294
F,28735.775856427437,15.252020450833522,75.55224058134037,nan,0.0009948489402083849
F,34345.0543806963,15.38669623495262,70.34267035762669,nan,0.0009638783050203138
F,39540.76707456859,14.487248356579226,55.87060194608072,nan,0.0009516509984683874
F-res-0.5x,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-0.5x,8444.397829052372,37.98232067415192,331.5204007209247,nan,0.021839771484500985
F-res-0.5x,12157.085158038248,19.484305344599793,153.19953064293807,nan,0.0020671302426730196
F-res-0.5x,13422.75890803825,19.101656804369586,140.88279343324604,nan,0.002019862697621045
F-res-0.5x,14854.397309355787,18.590094772392767,132.90399064491652,nan,0.0019579636733772143
F-res-0.5x,16375.91688105272,18.415706233320677,131.100203612946,nan,0.0018589941586507374
F-res-0.5x,17868.714421541237,18.08644120760967,125.02950172674105,nan,0.001778382786794233
F-res-0.5x,19506.93719313681,17.166176449012283,115.80632513456226,nan,0.0016262450611789893
F-res-1x,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-1x,8089.484079052374,36.62662558349524,468.5635187328345,nan,0.02842019057107345
F-res-1x,12981.469876813182,16.017291091721624,140.3659054080245,nan,0.0019954426444085496
F-res-1x,14831.369528130726,16.63988205446781,111.04146932596868,nan,0.001816202844424461
F-res-1x,16637.63012837565,15.981323823224447,92.00362100145054,nan,0.0016878238893523005
F-res-1x,18415.91474376026,15.615814533591484,83.76801154324046,nan,0.0016682945910478225
F-res-1x,20173.045512991026,15.212475097537203,71.25088545257857,nan,0.0016583859507890032
F-res-1x,21896.60881249724,15.475127621791225,66.54386852500461,nan,0.0015936630479196634
F-res-2x,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-2x,7944.580329052374,33.27734789574951,479.3276774975692,nan,0.03285530551579176
F-res-2x,9833.183112463506,33.40272817896519,474.93507985226245,nan,0.016363191369562866
F-res-2x,11306.128193440552,33.121129909509875,490.73271301628546,nan,0.008737247244155954
F-res-2x,12503.086810176497,32.073387164437094,489.31073347282086,nan,0.006641929036046957
F-res-2x,13616.746656668178,31.496008435924303,494.8790011778127,nan,0.005161703985048354
F-res-2x,14693.144964698316,31.131545094848178,495.4230399269516,nan,0.004581908006233654
F-res-2x,15753.66419546755,31.164662672412852,495.6411937732338,nan,0.004489102397578179
F-res-4x,2552.84052635079,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-4x,5524.973544466961,34.28966672169274,723.2530851526908,nan,0.034720683230844415
F-res-4x,6826.048195784504,32.97813665603099,706.1467463004458,nan,0.032493670859522636
F-res-4x,8007.046945784506,32.47551087157181,713.8975646156002,nan,0.03197802722250707
F-res-4x,9190.57319578451,32.69494112764223,711.878575338325,nan,0.03227841435975044
F-res-4x,10381.861945784514,32.53942181421085,707.753906276526,nan,0.032172230175865
F-res-4x,11578.936945784513,32.10077390224175,706.252501631796,nan,0.03195493685958927
F-res-4x,12780.099445784517,32.26778186071666,705.4007138473562,nan,0.032188581537030046
