strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,10.0,337.28462729328066,10000.0,nan,0.14216440998571098
D,20.0,205.3249622208842,9828.066781473059,nan,0.034676307067151246
D,30.0,33.725528902159624,4866.071884869214,nan,0.005137072607414054
D,40.0,24.14896755221056,3821.225690201622,nan,0.0034145919707635323
D,50.0,22.777234967694813,3311.3379685089503,nan,0.0033743098198317696
D,60.0,20.78034631964892,2319.7013624604515,nan,0.0032949205768295882
D,70.0,20.975758120955096,2554.552515950283,nan,0.0033421243641656093
D,80.0,18.63164262216737,1797.1029243371026,nan,0.0031040069794469223
F,10.75,72.17928505682893,1650.6016572304827,nan,0.09737949461125699
F,23.85,51.96080422992948,815.3356021749714,nan,0.014416853884702041
F,36.2,16.450609465952137,148.5002754970251,nan,0.0016087908333114209
F,48.1,13.611695927365606,103.94428468031784,nan,0.0010991446004579776
F,60.85,13.840412194551295,82.16242805982453,nan,0.0010179853228179999
F,73.35897435897436,14.267645496426343,74.86790278861484,nan,0.0009854912256819378
F,85.63157894736842,14.40432500094368,65.45240452929997,nan,0.0009816067243552486
F,98.3157894736842,14.064771345919628,54.93115857535078,nan,0.000965395890409937
