strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,342.2617467902636,10000.0,nan,0.1491110913526837
D,2,208.42523857263942,9793.887758001278,nan,0.03661332952801703
D,3,38.64368805938005,4925.567065682175,nan,0.006719592827922059
D,4,23.777988595091458,3814.068963557695,nan,0.00444557638762523
D,5,22.45270554940537,2831.503875186535,nan,0.004087499823564359
D,6,21.249162789688736,2325.492508586198,nan,0.004007337523079088
D,7,20.96108237388116,2797.3270700418584,nan,0.0039011365929017363
D,8,18.112345573346587,1548.9015744605288,nan,0.003785349056931017
F,1,72.19795843090579,1663.678202752418,nan,0.09703911556854776
F,2,89.1865744681658,721.09943357147,nan,0.01968795963582083
F,3,14.805289666033469,136.9816711022251,nan,0.0024616534744263422
F,4,11.3900820455802,74.95741284916804,nan,0.001722226716816297
F,5,10.464986975662082,52.789041858956395,nan,0.0013712111620760013
F,6,9.399011922669647,43.749214672656706,nan,0.0013179734341395668
F,7,9.960687176657826,40.286488047115064,nan,0.001251229387622848
F,8,10.270477825528463,35.87921412493671,nan,0.0011370442462036291
F-uncorr,1,73.98351956245754,1524.945763431147,nan,0.09663939383649554
F-uncorr,2,48.94762881424169,807.4367888211378,nan,0.014455258209375332
F-uncorr,3,15.073858696794412,168.22103482101537,nan,0.0019453830483281303
F-uncorr,4,10.865579460751622,66.10003968442615,nan,0.0014146036257000048
F-uncorr,5,10.852202675629062,50.32461201133826,nan,0.001214555331126683
F-uncorr,6,10.285469875241057,42.26628001500238,nan,0.0011294206203886156
F-uncorr,7,10.215589206733176,39.398099469569416,nan,0.0010414416723746477
F-uncorr,8,10.140692284233245,30.21576066768076,nan,0.0010041394830361875
