strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,10.0,335.58357321399427,10000.0,nan,0.1512534714789756
D,20.0,201.90018331161406,9806.148924682686,nan,0.03704707728538951
D,30.0,32.23542247390869,3397.5286589368525,nan,0.006139770892567335
D,40.0,23.816018429284874,2897.1237806537592,nan,0.0038493053772317683
D,50.0,21.605087839594933,2803.627121401959,nan,0.003625755821045948
D,60.0,20.494195226224306,2062.1145372574783,nan,0.003498993549015851
D,70.0,20.84799130681593,2061.765318472038,nan,0.0035354881877614182
D,80.0,18.379614482290428,1549.606426186026,nan,0.0033034752215550323
F,10.725,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F,23.625,51.24548407789147,825.1926296987527,nan,0.013951248588631195
F,36.025,17.599218117720348,180.65066857339892,nan,0.0015421495550073205
F,48.075,13.99238663705979,98.041919642177,nan,0.0011133473791226116
F,60.56410256410256,14.72829252650799,84.0437506100608,nan,0.001031655333769294
F,73.07894736842105,15.252020450833522,75.55224058134037,nan,0.0009948489402083849
F,85.35135135135135,15.38669623495262,70.34267035762669,nan,0.0009638783050203138
F,98.02702702702703,14.487248356579226,55.87060194608072,nan,0.0009516509984683874
F-res-0.5x,10.725,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-0.5x,23.525,37.98232067415192,331.5204007209247,nan,0.021839771484500985
F-res-0.5x,34.6,19.484305344599793,153.19953064293807,nan,0.0020671302426730196
F-res-0.5x,45.525,19.101656804369586,140.88279343324604,nan,0.002019862697621045
F-res-0.5x,56.575,18.590094772392767,132.90399064491652,nan,0.0019579636733772143
F-res-0.5x,67.92307692307692,18.415706233320677,131.100203612946,nan,0.0018589941586507374
F-res-0.5x,79.2051282051282,18.08644120760967,125.02950172674105,nan,0.001778382786794233
F-res-0.5x,91.0,17.166176449012283,115.80632513456226,nan,0.0016262450611789893
F-res-1x,10.725,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-1x,23.325,36.62662558349524,468.5635187328345,nan,0.02842019057107345
F-res-1x,35.825,16.017291091721624,140.3659054080245,nan,0.0019954426444085496
F-res-1x,48.4,16.63988205446781,111.04146932596868,nan,0.001816202844424461
F-res-1x,60.69230769230769,15.981323823224447,92.00362100145054,nan,0.0016878238893523005
F-res-1x,73.02564102564102,15.615814533591484,83.76801154324046,nan,0.0016682945910478225
F-res-1x,85.33333333333333,15.212475097537203,71.25088545257857,nan,0.0016583859507890032
F-res-1x,97.55263157894737,15.475127621791225,66.54386852500461,nan,0.0015936630479196634
F-res-2x,10.725,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-2x,23.4,33.27734789574951,479.3276774975692,nan,0.03285530551579176
F-res-2x,34.12820512820513,33.40272817896519,474.93507985226245,nan,0.016363191369562866
F-res-2x,44.56410256410256,33.121129909509875,490.73271301628546,nan,0.008737247244155954
F-res-2x,54.743589743589745,32.073387164437094,489.31073347282086,nan,0.006641929036046957
F-res-2x,64.94871794871794,31.496008435924303,494.8790011778127,nan,0.005161703985048354
F-res-2x,74.97435897435898,31.131545094848178,495.4230399269516,nan,0.004581908006233654
F-res-2x,85.05128205128206,31.164662672412852,495.6411937732338,nan,0.004489102397578179
F-res-4x,10.725,74.44332966393222,1563.0217435895806,nan,0.09548952079166326
F-res-4x,20.775,34.28966672169274,723.2530851526908,nan,0.034720683230844415
F-res-4x,30.85,32.97813665603099,706.1467463004458,nan,0.032493670859522636
F-res-4x,40.875,32.47551087157181,713.8975646156002,nan,0.03197802722250707
F-res-4x,50.875,32.69494112764223,711.878575338325,nan,0.03227841435975044
F-res-4x,60.9,32.53942181421085,707.753906276526,nan,0.032172230175865
F-res-4x,70.975,32.10077390224175,706.252501631796,nan,0.03195493685958927
F-res-4x,81.075,32.26778186071666,705.4007138473562,nan,0.032188581537030046
