strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,335.58357321399427,10000.0,nan,0.1512534714789756
D,2,201.90018331161406,9806.148924682686,nan,0.03704707728538951
D,3,32.23542247390869,3397.5286589368525,nan,0.006139770892567335
D,4,23.816018429284874,2897.1237806537592,nan,0.0038493053772317683
D,5,21.605087839594933,2803.627121401959,nan,0.003625755821045948
D,6,20.494195226224306,2062.1145372574783,nan,0.003498993549015851
D,7,20.84799130681593,2061.765318472038,nan,0.0035354881877614182
D,8,18.379614482290428,1549.606426186026,nan,0.0033034752215550323
F,1,70.0158722480974,1536.735786761185,0.4990810117745864,0.10545504297771036
F,2,49.76329353494807,796.0362733961839,0.6855763559548291,0.019619268709312982
F,3,17.40185617062868,185.34457519353003,0.7643564626616869,0.006859185027060269
F,4,19.64705391745651,263.0142600213697,0.9911197972397536,0.0016849187204961574
F,5,15.652931403553026,87.07774467056515,1.0,0.0011302108067754435
F,6,14.639053008656646,70.22543243863747,1.0,0.001018041863034979
F,7,14.306293850712386,60.680667706803355,1.0,0.0009584166395123073
F,8,14.023686537640751,54.257435401830236,1.0,0.0009110131862970104
