strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,10.0,331.8917457630628,10000.0,nan,0.1451984123679378
D,20.0,195.0677520641289,9771.022207931688,nan,0.03632730199138454
D,30.0,33.828647413845104,3685.371923245794,nan,0.00618004685916341
D,40.0,21.413759707790526,2841.436921828842,nan,0.003583764991149771
D,50.0,20.850636157160103,2808.6307875020857,nan,0.0034479833517526677
D,60.0,20.17174476294789,2793.7884888326853,nan,0.0032089162400254557
D,70.0,19.904806206671857,2305.114224028617,nan,0.0031686966465266308
D,80.0,18.632331189303915,2046.9257777010607,nan,0.0030188949891725068
F,10.75,72.18679145311769,1649.2744617390854,nan,0.09740774348609153
F,23.85,52.26622368128352,815.1517854286163,nan,0.014458593874377262
F,36.225,16.485083270912263,148.78865157586952,nan,0.0016802319647738456
F,48.175,13.681400287832934,104.35061172353349,nan,0.0011476207202543334
F,60.85,13.922531119382757,84.15249312716773,nan,0.0010209265376689702
F,73.41025641025641,14.37756536259899,75.2320016875118,nan,0.0009943627938561119
F,85.6842105263158,14.560118632893094,65.19771569495491,nan,0.0009886476360529512
F,98.36842105263158,14.282458373137603,55.03391629233864,nan,0.0009713220515703045
