strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,339.41682898115505,10000.0,nan,0.14894757431667932
D,2,235.48354318957294,9784.088853771365,nan,0.03946872498771674
D,3,68.0047769676557,1815.6978561934382,nan,0.02023301659202396
D,4,49.01245163025525,826.9773127103778,nan,0.016114236321120426
D,5,43.2611967406572,293.50247604533786,nan,0.01456325349470329
D,6,42.49188402992813,36.4371921280312,nan,0.013317022564429121
D,7,40.12656910302808,34.4693225819556,nan,0.011791041762375495
D,8,37.72426004813736,32.70978203874368,nan,0.011773403149578351
F,1,72.45086958883951,1393.8949030375802,nan,0.09577285079707207
F,2,42.410634332338056,795.1262161155121,nan,0.014782011680311105
F,3,14.79964077247423,513.9334181772267,nan,0.0031919767112979862
F,4,11.325020142375873,395.04445499292217,nan,0.0017411784458202372
F,5,11.141263558990588,342.1474907783679,nan,0.0016117686191789737
F,6,11.206293955011654,307.4773931556712,nan,0.0014686674697193002
F,7,12.301746310854508,293.96422534124446,nan,0.0014056709738700726
F,8,12.501982658118925,281.1342009677839,nan,0.0013626784767938863
F-uncorr,1,73.5313596866552,1418.936855300769,nan,0.09833346531378473
F-uncorr,2,146.96967216524965,490.8788018723094,nan,0.036315454816274996
F-uncorr,3,64.7776092056022,43.96714317785448,nan,0.018142910384210956
F-uncorr,4,50.62448045314799,24.932159913448594,nan,0.012493294802157709
F-uncorr,5,48.85217973197498,22.9750489572145,nan,0.012397380827073683
F-uncorr,6,47.36995828786799,22.449117526782278,nan,0.013080465343414676
F-uncorr,7,47.36321193417872,22.458882877137093,nan,0.012734627867960927
F-uncorr,8,47.067389976147595,20.08546292310436,nan,0.013142283331496063
